ID;TYPE;STREET;NUMBER;CARRER;NUMBERO;POSTCODE;BUILD;REFERENCE;LOCATION;POSTCODE2;CLASSE;SURFACEBUILDED;SURFACETERRAIN;COEFFICENT;USE;PROPERTYTYPE;YEARCONSTRUCTION;OWNER;PHONE;ELEMENTSNUMBER;ELEMENTSAVERAGE;COMMONSELEMENTS;MUNICIPALITY;PROVINCE;PROPRIETARI;DOMICILI;POBLACIO;NUMERO_PB;NUMERO_IB;NUMERO_BD;NUMERO_ABC;NUMERO_1;NUMERO_2;NUMERO_3;SURFACEROOF;FILTER
91290;CL;ALFEREZ JUAN USERA;51;;31;28019;VERTICAL;8120336VK3782A0001ID;CL ALFEREZ JUAN USERA 51 MADRID;28019;;78;116;100;Residencial;Parcela construida sin divisi��_n horizontal;1949;403.954.490;-37.309.725;2;39;0;MADRID;MADRID;;;;;BUENO;;;;OK;SAN ISIDRO # CARABANCHEL;***MAD;CATASTRO
91291;CL;ALFEREZ JUAN USERA;53;;31;28019;VERTICAL;8120335VK3782A0001XD;CL ALFEREZ JUAN USERA 53 MADRID;28019;;78;70;100;Residencial;Parcela construida sin divisi��_n horizontal;1949;403.954.118;-37.310.215;2;39;0;MADRID;MADRID;;;;;BUENO;;;;OK;SAN ISIDRO # CARABANCHEL;***MAD;CATASTRO
91293;CL;ALFEREZ JUAN USERA;57;;31;28019;VERTICAL;8120333VK3782A0001RD;CL ALFEREZ JUAN USERA 57 MADRID;28019;;91;77;100;Residencial;Parcela construida sin divisi��_n horizontal;1949;403.953.410;-37.311.147;3;30;0;MADRID;MADRID;;;;;BUENO;;;;OK;SAN ISIDRO # CARABANCHEL;***MAD;CATASTRO
92638;CL;AMOR HERMOSO;46;;4;28026;VERTICAL;0309412VK4700G0001RD;CL AMOR HERMOSO 46 MADRID;28026;;321;100;100;Residencial;Parcela construida sin divisi��_n horizontal;2002;403.851.214;-37.038.873;6;54;0;MADRID;MADRID;;;;;BUENO;;;;OK;ALMENDRALES # USERA;***MAD;CATASTRO
92641;CL;AMOR HERMOSO;62;;16;28026;VERTICAL;0308410VK4700G0001RD;CL AMOR HERMOSO 62 MADRID;28026;;88;66;100;Residencial;Parcela construida sin divisi��_n horizontal;1951;403.840.046;-37.037.554;2;44;0;MADRID;MADRID;;;;;BUENO;;;;OK;ALMENDRALES # USERA;***MAD;CATASTRO
92643;CL;AMOREBIETA;1;;37;28023;VERTICAL;1902301VK3810D0001LY;CL AMOREBIETA 1 MADRID;28023;;464;1466;100;Residencial;Parcela construida sin divisi��_n horizontal;1963;404.691.189;-38.038.451;6;77;0;MADRID;MADRID;;;;;BUENO;;;;OK;EL PLANTIO # MONCLOA-ARAVACA;***MAD;CATASTRO
93723;CL;ANTONIO VICENT;46;;4;28019;VERTICAL;9819907VK3791H0001EJ;CL ANTONIO VICENT 46 MADRID;28019;;773;212;100;Residencial;Parcela construida sin divisi��_n horizontal;1986;403.946.438;-37.109.698;7;110;0;MADRID;MADRID;;;;;BUENO;;;;OK;COMILLAS # CARABANCHEL;***MAD;CATASTRO
93724;CL;ANTONIO VICENT;47;;4;28019;VERTICAL;9720408VK3792B0001DE;CL ANTONIO VICENT 47 MADRID;28019;;292;101;100;Residencial;Parcela construida sin divisi��_n horizontal;1957;403.948.571;-37.111.807;6;49;0;MADRID;MADRID;;;;;BUENO;;;;OK;COMILLAS # CARABANCHEL;***MAD;CATASTRO
93725;CL;ANTONIO VICENT;48;;4;28019;VERTICAL;9819908VK3791H0001SJ;CL ANTONIO VICENT 48 MADRID;28019;;526;171;100;Residencial;Parcela construida sin divisi��_n horizontal;1949;403.945.787;-37.108.339;8;66;0;MADRID;MADRID;;;;;BUENO;;;;OK;COMILLAS # CARABANCHEL;***MAD;CATASTRO
93731;CL;ANTONIO VICENT;64;;4;28019;VERTICAL;9819916VK3791H0001AJ;CL ANTONIO VICENT 64 MADRID;28019;;223;129;100;Residencial;Parcela construida sin divisi��_n horizontal;1930;403.942.427;-37.101.406;7;32;0;MADRID;MADRID;;;;;BUENO;;;;OK;COMILLAS # CARABANCHEL;***MAD;CATASTRO
93735;CL;ANTONIO VICENT;72;;4;28019;VERTICAL;9819919VK3791H0001GJ;CL ANTONIO VICENT 72 MADRID;28019;;272;124;100;Residencial;Parcela construida sin divisi��_n horizontal;1970;403.940.369;-37.098.464;4;68;0;MADRID;MADRID;;;;;BUENO;;;;OK;COMILLAS # CARABANCHEL;***MAD;CATASTRO
93737;CL;ANTONIO VICENT;74;;4;28019;VERTICAL;9819920VK3791H0001BJ;CL ANTONIO VICENT 74 MADRID;28019;;224;100;100;Residencial;Parcela construida sin divisi��_n horizontal;1970;403.940.505;-37.097.398;4;56;0;MADRID;MADRID;;;;;BUENO;;;;OK;COMILLAS # CARABANCHEL;***MAD;CATASTRO
93740;CL;ANTONIO ZAMORA;6;;25;28011;VERTICAL;8541804VK3784B0001WP;CL ANTONIO ZAMORA 6 MADRID;28011;;593;407;100;Residencial;Parcela construida sin divisi��_n horizontal;1950;404.134.891;-37.256.171;9;66;0;MADRID;MADRID;;;;;BUENO;;;;OK;PUERTA DEL ANGEL # LATINA;***MAD;CATASTRO
93741;CL;ANTONIO ZAMORA;37;;25;28011;VERTICAL;8240104VK3784A0001HQ;CL ANTONIO ZAMORA 37 MADRID;28011;;648;297;100;Residencial;Parcela construida sin divisi��_n horizontal;1923;404.127.237;-37.296.015;3;216;0;MADRID;MADRID;;;;;BUENO;;;;OK;PUERTA DEL ANGEL # LATINA;***MAD;CATASTRO
93745;CL;ANTONIO ZAMORA;51;;25;28011;VERTICAL;8039611VK3783G0001YG;CL ANTONIO ZAMORA 51 MADRID;28011;;197;125;100;Residencial;Parcela construida sin divisi��_n horizontal;1967;404.123.709;-37.308.124;2;98;0;MADRID;MADRID;;;;;BUENO;;;;OK;PUERTA DEL ANGEL # LATINA;***MAD;CATASTRO
93748;CL;ANTONIO ZAMORA;64;;52;28011;VERTICAL;7939102VK3773H0001IB;CL ANTONIO ZAMORA 64 MADRID;28011;;887;193;100;Residencial;Parcela construida sin divisi��_n horizontal;1993;404.120.498;-37.321.220;12;74;147;MADRID;MADRID;;;;;BUENO;;;;OK;PUERTA DEL ANGEL # LATINA;***MAD;CATASTRO
93754;CL;ANTONIO ZAPATA;1;;21;28002;VERTICAL;3276302VK4737E0001UA;CL ANTONIO ZAPATA 1 MADRID;28002;;1892;306;100;Residencial;Parcela construida sin divisi��_n horizontal;1970;404.458.951;-36.710.364;22;86;214;MADRID;MADRID;;;;;BUENO;;;;OK;PROSPERIDAD # CHAMARTIN;***MAD;CATASTRO
